asset_id,asset_type,department,section,location_km,importance,last_maintenance
AST001,Point Machine,Engineering,S06,11.1,Medium,2026-08-05
AST002,Bridge,Engineering,S07,3.3,Medium,2026-08-04
AST003,Bridge,Engineering,S12,13.0,High,2026-08-24
AST004,Point Machine,Engineering,S15,3.2,Medium,2026-08-03
AST005,Bridge,Engineering,S18,19.8,Low,2026-08-12
AST006,Track,Engineering,S19,21.1,High,2026-08-22
AST007,Bridge,Engineering,S08,10.1,High,2026-08-04
AST008,Bridge,Engineering,S13,3.9,Medium,2026-08-06
AST009,Bridge,Engineering,S12,4.5,Medium,2026-08-23
AST010,Point Machine,Engineering,S03,9.8,Low,2026-08-24
AST011,Track,Engineering,S08,4.8,Medium,2026-08-21
AST012,Track,Engineering,S18,16.4,High,2026-08-08
AST013,Bridge,Engineering,S02,3.5,High,2026-08-07
AST014,Point Machine,Engineering,S19,9.4,Low,2026-08-16
AST015,Point Machine,Engineering,S13,4.0,Medium,2026-08-05
AST016,Point Machine,Engineering,S08,5.8,Medium,2026-08-24
AST017,Bridge,Engineering,S19,26.8,Medium,2026-08-12
AST018,Track,Engineering,S08,5.2,High,2026-08-25
AST019,Track,Engineering,S02,1.3,High,2026-08-26
AST020,Point Machine,Engineering,S14,0.9,Medium,2026-08-20
AST021,Point Machine,Engineering,S15,6.4,Low,2026-08-01
AST022,Point Machine,Engineering,S04,12.4,Medium,2026-08-25
AST023,Track,Engineering,S11,4.1,High,2026-08-15
AST024,Point Machine,Engineering,S01,22.2,Medium,2026-08-17
AST025,Point Machine,Engineering,S06,24.0,Low,2026-08-10
AST026,Point Machine,Engineering,S17,2.8,Medium,2026-08-25
AST027,Point Machine,Engineering,S06,25.1,Low,2026-08-01
AST028,Bridge,Engineering,S20,4.0,High,2026-08-12
AST029,Track,Engineering,S10,0.5,Low,2026-08-03
AST030,Point Machine,Engineering,S03,7.5,High,2026-08-25
AST031,Track,Engineering,S18,3.1,Medium,2026-08-18
AST032,Bridge,Engineering,S06,13.9,Low,2026-08-14
AST033,Point Machine,Engineering,S07,24.2,Low,2026-08-07
AST034,Bridge,Engineering,S10,8.8,Low,2026-08-12
AST035,Axle Counter,S&T,S15,11.5,High,2026-08-08
AST036,Interlocking,S&T,S03,0.3,Low,2026-08-08
AST037,Signal,S&T,S19,0.2,Low,2026-08-21
AST038,Signal,S&T,S02,0.6,High,2026-08-11
AST039,Axle Counter,S&T,S03,3.7,Low,2026-08-16
AST040,Axle Counter,S&T,S07,4.2,Low,2026-08-19
AST041,Signal,S&T,S16,17.8,Medium,2026-08-07
AST042,Signal,S&T,S04,9.2,Medium,2026-08-14
AST043,Interlocking,S&T,S14,11.6,High,2026-08-22
AST044,Signal,S&T,S04,5.6,Medium,2026-08-26
AST045,Signal,S&T,S04,2.7,Low,2026-08-15
AST046,Interlocking,S&T,S05,5.1,Medium,2026-08-08
AST047,Interlocking,S&T,S03,12.4,Low,2026-08-04
AST048,Axle Counter,S&T,S02,8.7,High,2026-08-03
AST049,Signal,S&T,S08,4.2,Medium,2026-08-07
AST050,Signal,S&T,S13,1.4,High,2026-08-13
AST051,Interlocking,S&T,S09,5.5,Low,2026-08-24
AST052,Axle Counter,S&T,S18,17.2,High,2026-08-07
AST053,Signal,S&T,S10,8.5,Low,2026-08-24
AST054,Signal,S&T,S18,17.9,High,2026-08-02
AST055,Interlocking,S&T,S19,15.0,Low,2026-08-06
AST056,Axle Counter,S&T,S02,0.7,High,2026-08-03
AST057,Signal,S&T,S20,5.5,High,2026-08-13
AST058,Axle Counter,S&T,S04,3.4,Low,2026-08-02
AST059,Signal,S&T,S20,3.4,Low,2026-08-19
AST060,Interlocking,S&T,S17,13.1,High,2026-08-22
AST061,Signal,S&T,S11,3.7,High,2026-08-22
AST062,Interlocking,S&T,S10,2.8,High,2026-08-01
AST063,Axle Counter,S&T,S15,25.5,High,2026-08-03
AST064,Signal,S&T,S18,12.1,High,2026-08-12
AST065,Signal,S&T,S03,5.7,High,2026-08-15
AST066,Axle Counter,S&T,S18,7.2,Low,2026-08-17
AST067,Axle Counter,S&T,S01,20.7,Medium,2026-08-22
AST068,Signal,S&T,S04,3.7,High,2026-08-24
AST069,OHE,Traction,S18,6.5,Low,2026-08-07
AST070,OHE,Traction,S11,9.6,Medium,2026-08-17
AST071,Transformer,Traction,S16,20.6,High,2026-08-03
AST072,Transformer,Traction,S14,0.6,Medium,2026-08-25
AST073,Sectioning Post,Traction,S05,27.3,High,2026-08-24
AST074,Sectioning Post,Traction,S15,18.0,Low,2026-08-01
AST075,OHE,Traction,S04,13.2,Low,2026-08-05
AST076,OHE,Traction,S18,19.9,Low,2026-08-18
AST077,Transformer,Traction,S05,3.6,Medium,2026-08-12
AST078,Transformer,Traction,S02,1.8,High,2026-08-22
AST079,Transformer,Traction,S04,10.9,Medium,2026-08-20
