section,date,start_time,end_time,availability
S01,2026-09-07,09:00,12:00,Available
S01,2026-09-07,14:00,17:00,Available
S02,2026-09-07,09:00,12:00,Available
S02,2026-09-07,14:00,17:00,Available
S03,2026-09-07,09:00,12:00,Available
S03,2026-09-07,14:00,17:00,Available
S04,2026-09-07,09:00,12:00,Available
S04,2026-09-07,14:00,17:00,Available
S05,2026-09-07,09:00,12:00,Available
S05,2026-09-07,14:00,17:00,Available
S06,2026-09-07,09:00,12:00,Available
S06,2026-09-07,14:00,17:00,Available
S07,2026-09-07,09:00,12:00,Available
S07,2026-09-07,14:00,17:00,Available
S08,2026-09-07,09:00,12:00,Available
S08,2026-09-07,14:00,17:00,Available
S09,2026-09-07,09:00,12:00,Available
S09,2026-09-07,14:00,17:00,Available
S10,2026-09-07,09:00,12:00,Available
S10,2026-09-07,14:00,17:00,Available
S11,2026-09-07,09:00,12:00,Available
S11,2026-09-07,14:00,17:00,Available
S12,2026-09-07,09:00,12:00,Available
S12,2026-09-07,14:00,17:00,Available
S13,2026-09-07,09:00,12:00,Available
S13,2026-09-07,14:00,17:00,Available
S14,2026-09-07,09:00,12:00,Available
S14,2026-09-07,14:00,17:00,Available
S15,2026-09-07,09:00,12:00,Available
S15,2026-09-07,14:00,17:00,Available
S16,2026-09-07,09:00,12:00,Available
S16,2026-09-07,14:00,17:00,Available
S17,2026-09-07,09:00,12:00,Available
S17,2026-09-07,14:00,17:00,Available
S18,2026-09-07,09:00,12:00,Available
S18,2026-09-07,14:00,17:00,Available
S19,2026-09-07,09:00,12:00,Available
S19,2026-09-07,14:00,17:00,Available
S20,2026-09-07,09:00,12:00,Available
S20,2026-09-07,14:00,17:00,Available
S01,2026-09-08,09:00,12:00,Available
S01,2026-09-08,14:00,17:00,Available
S02,2026-09-08,09:00,12:00,Available
S02,2026-09-08,14:00,17:00,Available
S03,2026-09-08,09:00,12:00,Available
S03,2026-09-08,14:00,17:00,Available
S04,2026-09-08,09:00,12:00,Available
S04,2026-09-08,14:00,17:00,Available
S05,2026-09-08,09:00,12:00,Available
S05,2026-09-08,14:00,17:00,Available
S06,2026-09-08,09:00,12:00,Available
S06,2026-09-08,14:00,17:00,Available
S07,2026-09-08,09:00,12:00,Available
S07,2026-09-08,14:00,17:00,Available
S08,2026-09-08,09:00,12:00,Available
S08,2026-09-08,14:00,17:00,Available
S09,2026-09-08,09:00,12:00,Available
S09,2026-09-08,14:00,17:00,Available
S10,2026-09-08,09:00,12:00,Available
S10,2026-09-08,14:00,17:00,Available
S11,2026-09-08,09:00,12:00,Available
S11,2026-09-08,14:00,17:00,Available
S12,2026-09-08,09:00,12:00,Available
S12,2026-09-08,14:00,17:00,Available
S13,2026-09-08,09:00,12:00,Available
S13,2026-09-08,14:00,17:00,Available
S14,2026-09-08,09:00,12:00,Available
S14,2026-09-08,14:00,17:00,Available
S15,2026-09-08,09:00,12:00,Available
S15,2026-09-08,14:00,17:00,Available
S16,2026-09-08,09:00,12:00,Available
S16,2026-09-08,14:00,17:00,Available
S17,2026-09-08,09:00,12:00,Available
S17,2026-09-08,14:00,17:00,Available
S18,2026-09-08,09:00,12:00,Available
S18,2026-09-08,14:00,17:00,Available
S19,2026-09-08,09:00,12:00,Available
S19,2026-09-08,14:00,17:00,Available
