task_id,department,asset_id,section,location_km,task_type,severity,safety_critical,due_date,estimated_duration_hours,status
M001,Engineering,AST004,S15,3.2,Point Maintenance,Medium,No,2026-09-24,1.5,Ongoing
M007,Engineering,AST031,S18,3.1,Point Maintenance,High,Yes,2026-09-25,1.5,Overdue
M008,Engineering,AST014,S19,9.4,Track Geometry Correction,Medium,No,2026-09-12,1.5,Pending
M012,Engineering,AST016,S08,5.8,Ballast Inspection,Medium,No,2026-09-19,1.5,Ongoing
M015,Engineering,AST004,S15,3.2,Track Geometry Correction,High,No,2026-09-06,1.5,Ongoing
M020,Engineering,AST023,S11,4.1,Rail Crack Repair,High,Yes,2026-09-14,1.5,Completed
M026,Engineering,AST011,S08,4.8,Sleeper Replacement,Medium,No,2026-09-06,1.0,Ongoing
M030,Engineering,AST015,S13,4.0,Sleeper Replacement,Medium,No,2026-09-22,1.5,Overdue
M041,Engineering,AST027,S06,25.1,Ballast Inspection,Low,No,2026-08-30,0.5,Ongoing
M042,Engineering,AST004,S15,3.2,Track Geometry Correction,Medium,No,2026-09-04,0.5,Ongoing
M043,Engineering,AST015,S13,4.0,Ballast Inspection,Medium,No,2026-09-23,1.5,Overdue
M047,Engineering,AST024,S01,22.2,Sleeper Replacement,Low,No,2026-09-16,0.5,Pending
M050,Engineering,AST018,S08,5.2,Track Geometry Correction,Medium,No,2026-10-04,1.0,Ongoing
M055,Engineering,AST012,S18,16.4,Track Geometry Correction,Medium,No,2026-08-26,1.0,Ongoing
M058,Engineering,AST015,S13,4.0,Point Maintenance,Medium,No,2026-09-19,0.5,Pending
M059,Engineering,AST003,S12,13.0,Rail Crack Repair,Medium,No,2026-09-01,1.5,Completed
M065,Engineering,AST021,S15,6.4,Track Geometry Correction,Medium,No,2026-10-04,1.5,Ongoing
M066,Engineering,AST021,S15,6.4,Sleeper Replacement,Medium,No,2026-09-24,0.5,Ongoing
M073,Engineering,AST013,S02,3.5,Sleeper Replacement,Medium,No,2026-09-28,1.0,Pending
M075,Engineering,AST024,S01,22.2,Ballast Inspection,Medium,No,2026-08-31,1.0,Pending
M077,Engineering,AST002,S07,3.3,Sleeper Replacement,Medium,No,2026-10-04,0.5,Ongoing
M083,Engineering,AST023,S11,4.1,Point Maintenance,Critical,Yes,2026-09-10,1.5,Completed
M088,Engineering,AST006,S19,21.1,Ballast Inspection,High,Yes,2026-09-09,2.0,Pending
