forecast_id,section,date,expected_goods_trains,expected_time
GF001,S02,2026-09-07,2,22:30
GF002,S06,2026-09-08,4,18:00
GF003,S11,2026-09-11,1,13:30
GF004,S13,2026-09-20,2,08:30
GF005,S15,2026-09-19,5,22:00
GF006,S16,2026-09-14,3,08:30
GF007,S01,2026-09-08,4,20:00
GF008,S18,2026-09-15,1,08:30
GF009,S17,2026-09-15,2,22:30
GF010,S12,2026-09-20,1,13:30
GF011,S11,2026-09-15,5,22:30
GF012,S15,2026-09-08,1,13:00
GF013,S11,2026-09-12,3,18:00
GF014,S02,2026-09-09,4,11:30
GF015,S04,2026-09-11,5,13:00
GF016,S04,2026-09-20,4,13:30
GF017,S07,2026-09-18,3,08:30
GF018,S02,2026-09-17,5,08:30
GF019,S15,2026-09-17,5,11:30
GF020,S01,2026-09-15,1,20:30
GF021,S17,2026-09-19,2,11:00
GF022,S04,2026-09-13,5,18:30
GF023,S14,2026-09-16,2,16:30
GF024,S11,2026-09-11,4,11:00
GF025,S14,2026-09-16,5,16:30
GF026,S18,2026-09-17,2,13:00
GF027,S20,2026-09-18,3,18:00
GF028,S06,2026-09-15,5,18:00
GF029,S12,2026-09-15,4,20:30
GF030,S14,2026-09-19,1,08:00
GF031,S13,2026-09-09,1,06:00
GF032,S09,2026-09-19,2,16:30
GF033,S05,2026-09-20,1,16:00
GF034,S18,2026-09-07,3,22:00
GF035,S20,2026-09-20,5,13:30
GF036,S08,2026-09-15,3,06:30
GF037,S13,2026-09-13,3,06:00
GF038,S09,2026-09-10,5,22:00
GF039,S12,2026-09-19,5,13:00
GF040,S10,2026-09-14,2,08:00
GF041,S06,2026-09-18,5,08:30
GF042,S02,2026-09-13,3,16:00
GF043,S06,2026-09-16,3,06:30
GF044,S15,2026-09-18,2,06:00
GF045,S11,2026-09-16,1,16:30
GF046,S19,2026-09-15,3,08:30
GF047,S17,2026-09-10,2,08:00
GF048,S14,2026-09-15,5,20:00
GF049,S12,2026-09-10,2,18:30
GF050,S12,2026-09-11,2,22:00
GF051,S04,2026-09-17,3,22:00
GF052,S20,2026-09-16,2,06:30
GF053,S13,2026-09-19,1,20:30
GF054,S18,2026-09-18,3,06:30
GF055,S17,2026-09-19,5,22:30
GF056,S02,2026-09-11,2,18:00
GF057,S04,2026-09-09,5,06:00
GF058,S07,2026-09-17,2,20:00
GF059,S07,2026-09-15,4,08:00
GF060,S01,2026-09-14,3,06:00
GF061,S03,2026-09-07,2,16:00
GF062,S19,2026-09-20,2,16:30
GF063,S13,2026-09-14,4,20:30
GF064,S01,2026-09-13,1,06:00
GF065,S19,2026-09-07,1,18:00
GF066,S10,2026-09-19,3,08:30
GF067,S15,2026-09-13,4,06:30
GF068,S06,2026-09-15,2,11:30
GF069,S18,2026-09-11,2,16:30
GF070,S01,2026-09-15,5,11:00
GF071,S02,2026-09-07,5,20:00
GF072,S10,2026-09-10,3,13:30
GF073,S17,2026-09-09,2,11:00
GF074,S20,2026-09-20,3,13:00
GF075,S06,2026-09-17,5,06:30
GF076,S18,2026-09-08,3,08:30
GF077,S04,2026-09-10,5,22:30
GF078,S12,2026-09-09,2,08:30
GF079,S20,2026-09-08,2,18:30
GF080,S15,2026-09-12,5,16:00
GF081,S19,2026-09-16,3,18:30
GF082,S06,2026-09-07,3,13:00
GF083,S14,2026-09-11,3,11:30
GF084,S16,2026-09-14,4,18:30
GF085,S16,2026-09-15,1,11:00
GF086,S09,2026-09-20,2,13:30
GF087,S03,2026-09-18,1,06:00
GF088,S19,2026-09-16,4,13:00
GF089,S18,2026-09-11,5,22:00
GF090,S12,2026-09-13,2,16:00
GF091,S15,2026-09-15,5,08:30
GF092,S12,2026-09-15,1,13:00
GF093,S17,2026-09-09,4,11:00
GF094,S19,2026-09-16,2,22:30
GF095,S02,2026-09-10,4,13:00
GF096,S09,2026-09-12,2,06:00
GF097,S17,2026-09-19,3,20:30
GF098,S15,2026-09-07,1,18:00
GF099,S17,2026-09-17,3,16:00
GF100,S13,2026-09-17,4,18:00
