task_id,department,asset_id,section,location_km,task_type,severity,safety_critical,due_date,estimated_duration_hours,status
M001,Engineering,AST004,S15,3.2,Point Maintenance,Medium,No,2026-09-24,1.5,Ongoing
M002,Traction,AST069,S18,6.5,OHE Component Repair,High,Yes,2026-09-13,1.0,Overdue
M003,S&T,AST063,S15,25.5,Axle Counter Testing,High,Yes,2026-09-10,2.0,Ongoing
M004,S&T,AST039,S03,3.7,Signal Fault Repair,Medium,No,2026-09-19,0.5,Overdue
M005,S&T,AST045,S04,2.7,Signal Fault Repair,High,Yes,2026-09-09,2.0,Pending
M006,S&T,AST053,S10,8.5,Cable Inspection,High,Yes,2026-09-24,1.5,Completed
M007,Engineering,AST031,S18,3.1,Point Maintenance,High,Yes,2026-09-25,1.5,Overdue
M008,Engineering,AST014,S19,9.4,Track Geometry Correction,Medium,No,2026-09-12,1.5,Pending
M009,S&T,AST052,S18,17.2,Axle Counter Testing,Medium,No,2026-09-29,0.5,Ongoing
M010,Traction,AST080,S05,24.1,Sectioning Equipment Check,Medium,No,2026-08-30,1.0,Ongoing
M011,Traction,AST091,S11,8.4,OHE Inspection,Low,No,2026-09-19,1.0,Completed
M012,Engineering,AST016,S08,5.8,Ballast Inspection,Medium,No,2026-09-19,1.5,Ongoing
M013,S&T,AST043,S14,11.6,Signal Inspection,Low,No,2026-09-26,1.0,Pending
M014,Traction,AST071,S16,20.6,OHE Inspection,High,No,2026-09-29,1.5,Completed
M015,Engineering,AST004,S15,3.2,Track Geometry Correction,High,No,2026-09-06,1.5,Ongoing
M016,Traction,AST069,S18,6.5,Sectioning Equipment Check,Medium,No,2026-09-19,1.0,Ongoing
M017,Traction,AST076,S18,19.9,OHE Inspection,Critical,No,2026-09-17,1.5,Ongoing
M018,S&T,AST066,S18,7.2,Signal Fault Repair,Medium,No,2026-08-27,0.5,Ongoing
M019,Traction,AST080,S05,24.1,OHE Component Repair,Medium,No,2026-09-24,0.5,Ongoing
M020,Engineering,AST023,S11,4.1,Rail Crack Repair,High,Yes,2026-09-14,1.5,Completed
M021,Traction,AST091,S11,8.4,Pantograph Clearance Check,Medium,No,2026-09-01,1.5,Completed
M022,S&T,AST051,S09,5.5,Cable Inspection,Medium,No,2026-09-29,1.0,Completed
M023,S&T,AST035,S15,11.5,Signal Inspection,Critical,No,2026-09-26,1.0,Ongoing
M024,S&T,AST045,S04,2.7,Interlocking Maintenance,Medium,No,2026-10-04,1.0,Pending
M025,Traction,AST078,S02,1.8,Transformer Inspection,High,Yes,2026-09-23,1.5,Pending
M026,Engineering,AST011,S08,4.8,Sleeper Replacement,Medium,No,2026-09-06,1.0,Ongoing
M027,S&T,AST049,S08,4.2,Signal Inspection,Medium,No,2026-09-30,0.5,Ongoing
M028,Traction,AST087,S09,12.4,Sectioning Equipment Check,Low,No,2026-09-30,1.0,Completed
M029,S&T,AST047,S03,12.4,Axle Counter Testing,High,Yes,2026-09-20,1.5,Overdue
M030,Engineering,AST015,S13,4.0,Sleeper Replacement,Medium,No,2026-09-22,1.5,Overdue
M031,S&T,AST065,S03,5.7,Signal Inspection,Medium,No,2026-09-02,0.5,Pending
M032,Traction,AST095,S20,5.4,OHE Component Repair,Low,No,2026-09-12,1.0,Completed
M033,Traction,AST069,S18,6.5,Pantograph Clearance Check,Medium,No,2026-08-26,0.5,Ongoing
M034,S&T,AST048,S02,8.7,Axle Counter Testing,High,Yes,2026-09-26,1.0,Pending
