asset_id,asset_type,department,section,location_km,importance,last_maintenance
AST069,OHE,Traction,S18,6.5,Low,2026-08-07
AST070,OHE,Traction,S11,9.6,Medium,2026-08-17
AST071,Transformer,Traction,S16,20.6,High,2026-08-03
AST072,Transformer,Traction,S14,0.6,Medium,2026-08-25
AST073,Sectioning Post,Traction,S05,27.3,High,2026-08-24
AST074,Sectioning Post,Traction,S15,18.0,Low,2026-08-01
AST075,OHE,Traction,S04,13.2,Low,2026-08-05
AST076,OHE,Traction,S18,19.9,Low,2026-08-18
AST077,Transformer,Traction,S05,3.6,Medium,2026-08-12
AST078,Transformer,Traction,S02,1.8,High,2026-08-22
AST079,Transformer,Traction,S04,10.9,Medium,2026-08-20
AST080,OHE,Traction,S05,24.1,High,2026-08-14
AST081,OHE,Traction,S01,18.6,Medium,2026-08-26
AST082,Sectioning Post,Traction,S14,11.6,High,2026-08-09
AST083,Sectioning Post,Traction,S06,2.8,High,2026-08-16
AST084,OHE,Traction,S08,8.4,Medium,2026-08-12
AST085,OHE,Traction,S10,2.0,Low,2026-08-07
AST086,Transformer,Traction,S13,2.4,High,2026-08-25
AST087,Transformer,Traction,S09,12.4,Medium,2026-08-22
AST088,Transformer,Traction,S18,22.4,High,2026-08-09
AST089,Sectioning Post,Traction,S06,25.3,Medium,2026-08-02
AST090,Sectioning Post,Traction,S04,6.1,Low,2026-08-26
AST091,Transformer,Traction,S11,8.4,Low,2026-08-04
AST092,Sectioning Post,Traction,S13,1.7,High,2026-08-23
AST093,OHE,Traction,S14,7.0,Low,2026-08-22
AST094,Transformer,Traction,S07,13.8,Low,2026-08-11
AST095,Transformer,Traction,S20,5.4,High,2026-08-24
AST096,Sectioning Post,Traction,S10,2.7,Medium,2026-08-11
AST097,Sectioning Post,Traction,S13,2.6,High,2026-08-07
AST098,Sectioning Post,Traction,S14,12.6,Low,2026-08-24
AST099,Sectioning Post,Traction,S06,15.0,Medium,2026-08-18
AST100,Transformer,Traction,S01,7.3,Medium,2026-08-26
