task_id,department,asset_id,section,location_km,task_type,severity,safety_critical,due_date,estimated_duration_hours,status
M002,Traction,AST069,S18,6.5,OHE Component Repair,High,Yes,2026-09-13,1.0,Overdue
M010,Traction,AST080,S05,24.1,Sectioning Equipment Check,Medium,No,2026-08-30,1.0,Ongoing
M011,Traction,AST091,S11,8.4,OHE Inspection,Low,No,2026-09-19,1.0,Completed
M014,Traction,AST071,S16,20.6,OHE Inspection,High,No,2026-09-29,1.5,Completed
M016,Traction,AST069,S18,6.5,Sectioning Equipment Check,Medium,No,2026-09-19,1.0,Ongoing
M017,Traction,AST076,S18,19.9,OHE Inspection,Critical,No,2026-09-17,1.5,Ongoing
M019,Traction,AST080,S05,24.1,OHE Component Repair,Medium,No,2026-09-24,0.5,Ongoing
M021,Traction,AST091,S11,8.4,Pantograph Clearance Check,Medium,No,2026-09-01,1.5,Completed
M025,Traction,AST078,S02,1.8,Transformer Inspection,High,Yes,2026-09-23,1.5,Pending
M028,Traction,AST087,S09,12.4,Sectioning Equipment Check,Low,No,2026-09-30,1.0,Completed
M032,Traction,AST095,S20,5.4,OHE Component Repair,Low,No,2026-09-12,1.0,Completed
M033,Traction,AST069,S18,6.5,Pantograph Clearance Check,Medium,No,2026-08-26,0.5,Ongoing
M035,Traction,AST091,S11,8.4,OHE Inspection,Medium,No,2026-09-06,1.0,Completed
M036,Traction,AST080,S05,24.1,OHE Inspection,High,Yes,2026-08-29,1.0,Ongoing
M037,Traction,AST090,S04,6.1,Sectioning Equipment Check,High,Yes,2026-09-21,2.0,Pending
M038,Traction,AST087,S09,12.4,OHE Component Repair,Low,No,2026-09-14,0.5,Completed
M039,Traction,AST095,S20,5.4,OHE Component Repair,Medium,No,2026-08-31,0.5,Completed
M049,Traction,AST096,S10,2.7,Sectioning Equipment Check,Medium,No,2026-09-02,0.5,Completed
M051,Traction,AST090,S04,6.1,OHE Component Repair,High,No,2026-09-23,1.0,Pending
M053,Traction,AST082,S14,11.6,OHE Component Repair,Medium,No,2026-09-27,1.0,Pending
M056,Traction,AST088,S18,22.4,Sectioning Equipment Check,Low,No,2026-09-17,1.0,Ongoing
M057,Traction,AST073,S05,27.3,Transformer Inspection,Medium,No,2026-09-10,1.0,Ongoing
M060,Traction,AST071,S16,20.6,Pantograph Clearance Check,Low,No,2026-09-04,1.0,Completed
M061,Traction,AST069,S18,6.5,Pantograph Clearance Check,High,No,2026-09-29,1.5,Ongoing
M062,Traction,AST075,S04,13.2,OHE Inspection,High,Yes,2026-09-13,2.0,Pending
M063,Traction,AST078,S02,1.8,Transformer Inspection,High,Yes,2026-09-14,1.0,Pending
M064,Traction,AST082,S14,11.6,OHE Component Repair,Low,No,2026-09-04,0.5,Pending
M068,Traction,AST072,S14,0.6,Pantograph Clearance Check,Medium,No,2026-09-19,0.5,Pending
M071,Traction,AST073,S05,27.3,Transformer Inspection,Medium,No,2026-09-03,1.5,Ongoing
M076,Traction,AST076,S18,19.9,OHE Component Repair,Medium,No,2026-10-02,1.0,Ongoing
M078,Traction,AST092,S13,1.7,OHE Component Repair,High,Yes,2026-08-28,1.5,Pending
M080,Traction,AST094,S07,13.8,OHE Component Repair,Low,No,2026-10-04,1.0,Ongoing
M084,Traction,AST088,S18,22.4,Transformer Inspection,Medium,No,2026-09-09,1.5,Ongoing
M085,Traction,AST076,S18,19.9,OHE Component Repair,High,No,2026-09-29,1.0,Ongoing
M086,Traction,AST080,S05,24.1,OHE Inspection,Medium,No,2026-10-02,0.5,Ongoing
M087,Traction,AST069,S18,6.5,Sectioning Equipment Check,Low,No,2026-09-28,1.0,Ongoing
M089,Traction,AST080,S05,24.1,Sectioning Equipment Check,Critical,Yes,2026-09-25,2.5,Ongoing
