train_id,train_type,section,date,arrival_time,departure_time,priority
TR1018,Passenger,S04,2026-09-07,09:50,09:55,Medium
TR1057,Goods,S04,2026-09-07,19:00,19:05,Medium
TR1142,Goods,S04,2026-09-07,21:50,22:00,Medium
TR1066,Express,S06,2026-09-07,15:40,15:45,High
TR1165,Passenger,S07,2026-09-07,05:50,06:05,Medium
TR1183,Express,S08,2026-09-07,05:50,05:55,High
TR1146,Passenger,S08,2026-09-07,17:50,18:00,Medium
TR1130,Passenger,S08,2026-09-07,19:00,19:10,Medium
TR1026,Passenger,S08,2026-09-07,20:20,20:30,Medium
TR1122,Express,S08,2026-09-07,20:20,20:30,High
TR1067,Goods,S09,2026-09-07,20:40,20:50,Medium
TR1135,Goods,S10,2026-09-07,17:00,17:05,Medium
TR1076,Passenger,S11,2026-09-07,05:10,05:25,Medium
TR1099,Goods,S12,2026-09-07,18:00,18:10,Medium
TR1023,Superfast,S12,2026-09-07,20:40,20:45,High
TR1104,Superfast,S15,2026-09-07,13:30,13:40,High
TR1062,Passenger,S16,2026-09-07,07:20,07:30,Medium
TR1038,Express,S16,2026-09-07,09:50,10:00,High
TR1007,Local,S17,2026-09-07,16:20,16:25,Low
TR1129,Express,S19,2026-09-07,10:10,10:15,High
TR1083,Goods,S19,2026-09-07,10:40,10:50,Medium
TR1174,Express,S20,2026-09-07,08:50,08:55,High
TR1049,Express,S20,2026-09-07,11:20,11:25,High
TR1017,Passenger,S20,2026-09-07,14:50,15:05,Medium
TR1106,Goods,S04,2026-09-08,16:40,16:50,Medium
TR1016,Goods,S08,2026-09-08,18:00,18:10,Medium
TR1013,Passenger,S09,2026-09-08,14:00,14:15,Medium
TR1037,Local,S10,2026-09-08,11:40,11:45,Low
TR1109,Goods,S10,2026-09-08,17:50,17:55,Medium
TR1101,Local,S10,2026-09-08,20:00,20:10,Low
TR1032,Superfast,S11,2026-09-08,22:30,22:35,High
TR1144,Superfast,S16,2026-09-08,15:20,15:35,High
TR1179,Local,S20,2026-09-08,14:00,14:05,Low
TR1156,Express,S20,2026-09-08,20:10,20:25,High
TR1120,Goods,S02,2026-09-09,13:30,13:35,Medium
TR1162,Local,S03,2026-09-09,18:50,19:00,Low
TR1082,Local,S05,2026-09-09,05:50,06:05,Low
TR1079,Superfast,S05,2026-09-09,18:50,19:00,High
TR1035,Passenger,S08,2026-09-09,05:30,05:35,Medium
TR1068,Passenger,S08,2026-09-09,08:10,08:25,Medium
TR1054,Express,S08,2026-09-09,11:30,11:40,High
