block_id,date,section,block_start,block_end,block_duration_hours,maintenance_hours,block_utilization_pct,task_count,departments,task_ids
B001,2026-09-07,S13,09:00,12:00,3.0,3.0,100.0,3,"Engineering, Traction","M078, M232, M181"
B002,2026-09-07,S18,09:00,12:00,3.0,3.0,100.0,3,"S&T, Traction","M209, M052, M119"
B003,2026-09-07,S05,09:00,12:00,3.0,3.0,100.0,2,S&T,"M142, M243"
B004,2026-09-07,S08,09:00,12:00,3.0,3.0,100.0,3,"Engineering, S&T","M072, M105, M182"
B005,2026-09-07,S13,09:00,12:00,3.0,3.0,100.0,2,"S&T, Traction","M143, M126"
B006,2026-09-07,S02,09:00,12:00,3.0,3.0,100.0,2,S&T,"M288, M149"
B007,2026-09-07,S06,09:00,12:00,3.0,3.0,100.0,2,"Engineering, Traction","M224, M163"
B008,2026-09-07,S03,09:00,12:00,3.0,3.0,100.0,3,S&T,"M138, M175, M277"
B009,2026-09-07,S13,09:00,12:00,3.0,3.0,100.0,3,Traction,"M279, M137, M287"
B010,2026-09-07,S10,09:00,12:00,3.0,3.0,100.0,2,"S&T, Traction","M179, M049"
B011,2026-09-07,S18,09:00,12:00,3.0,3.0,100.0,2,"Engineering, Traction","M104, M055"
B012,2026-09-07,S11,09:00,12:00,3.0,3.0,100.0,2,"S&T, Traction","M191, M212"
B013,2026-09-07,S11,09:00,12:00,3.0,3.0,100.0,2,Engineering,"M083, M020"
B014,2026-09-07,S15,09:00,12:00,3.0,3.0,100.0,2,"S&T, Traction","M003, M284"
B015,2026-09-07,S05,09:00,12:00,3.0,3.0,100.0,2,Traction,"M089, M086"
B016,2026-09-07,S11,09:00,12:00,3.0,3.0,100.0,2,"S&T, Traction","M268, M206"
B017,2026-09-07,S02,09:00,12:00,3.0,3.0,100.0,3,"Engineering, S&T, Traction","M112, M063, M252"
B018,2026-09-07,S18,09:00,12:00,3.0,3.0,100.0,3,"Engineering, Traction","M180, M002, M033"
B019,2026-09-07,S19,14:00,16:00,2.0,2.0,100.0,1,Engineering,M088
B020,2026-09-07,S13,09:00,12:00,3.0,3.0,100.0,2,"S&T, Traction","M139, M207"
B021,2026-09-07,S02,09:00,12:00,3.0,3.0,100.0,2,S&T,"M132, M247"
B022,2026-09-07,S14,09:00,12:00,3.0,3.0,100.0,2,Traction,"M283, M297"
B023,2026-09-07,S03,09:00,12:00,3.0,3.0,100.0,2,"Engineering, S&T","M168, M079"
B024,2026-09-07,S01,09:00,12:00,3.0,3.0,100.0,2,"Engineering, Traction","M125, M108"
B025,2026-09-07,S12,09:00,11:30,2.5,2.5,100.0,2,Engineering,"M059, M155"
B026,2026-09-07,S05,09:00,11:30,2.5,2.5,100.0,2,Traction,"M071, M010"
B027,2026-09-07,S14,09:00,12:00,3.0,3.0,100.0,2,"Engineering, Traction","M120, M131"
B028,2026-09-07,S04,09:55,11:55,2.0,2.0,100.0,1,Traction,M062
B029,2026-09-07,S08,09:00,12:00,3.0,3.0,100.0,2,"Engineering, S&T","M218, M205"
B030,2026-09-07,S20,09:00,11:00,2.0,2.0,100.0,2,S&T,"M111, M146"
B031,2026-09-07,S10,09:00,12:00,3.0,3.0,100.0,3,"S&T, Traction","M201, M121, M106"
B032,2026-09-07,S04,09:55,11:55,2.0,2.0,100.0,1,S&T,M005
B033,2026-09-07,S04,09:55,11:55,2.0,2.0,100.0,2,Traction,"M140, M274"
B034,2026-09-07,S20,09:00,11:00,2.0,2.0,100.0,3,"S&T, Traction","M039, M045, M270"
B035,2026-09-07,S02,09:00,11:30,2.5,2.5,100.0,2,"S&T, Traction","M034, M025"
B036,2026-09-07,S18,09:00,12:00,3.0,3.0,100.0,2,"S&T, Traction","M263, M214"
B037,2026-09-07,S19,14:00,17:00,3.0,3.0,100.0,2,Engineering,"M235, M008"
