task_id,department,section,priority_score,block_id,date,block_start,block_end,status,reason
M078,Traction,S13,104.5,B001,2026-09-07,09:00,10:30,Scheduled,New conflict-free block
M209,S&T,S18,102.0,B002,2026-09-07,09:00,10:00,Scheduled,New conflict-free block
M052,S&T,S18,100.5,B002,2026-09-07,09:00,11:30,Scheduled,Grouped into existing block
M142,S&T,S05,99.0,B003,2026-09-07,09:00,11:00,Scheduled,New conflict-free block
M232,Engineering,S13,96.0,B001,2026-09-07,09:00,11:30,Scheduled,Grouped into existing block
M243,S&T,S05,94.0,B003,2026-09-07,09:00,12:00,Scheduled,Grouped into existing block
M072,S&T,S08,90.0,B004,2026-09-07,09:00,10:00,Scheduled,New conflict-free block
M143,Traction,S13,90.0,B005,2026-09-07,09:00,11:00,Scheduled,New conflict-free block
M288,S&T,S02,90.0,B006,2026-09-07,09:00,11:00,Scheduled,New conflict-free block
M224,Engineering,S06,89.5,B007,2026-09-07,09:00,10:00,Scheduled,New conflict-free block
M138,S&T,S03,89.5,B008,2026-09-07,09:00,10:00,Scheduled,New conflict-free block
M175,S&T,S03,88.5,B008,2026-09-07,09:00,11:30,Scheduled,Grouped into existing block
M279,Traction,S13,87.0,B009,2026-09-07,09:00,11:00,Scheduled,New conflict-free block
M179,S&T,S10,87.0,B010,2026-09-07,09:00,11:30,Scheduled,New conflict-free block
M104,Traction,S18,86.5,B011,2026-09-07,09:00,11:00,Scheduled,New conflict-free block
M191,S&T,S11,85.5,B012,2026-09-07,09:00,11:00,Scheduled,New conflict-free block
M083,Engineering,S11,85.5,B013,2026-09-07,09:00,10:30,Scheduled,New conflict-free block
M003,S&T,S15,85.0,B014,2026-09-07,09:00,11:00,Scheduled,New conflict-free block
M089,Traction,S05,85.0,B015,2026-09-07,09:00,11:30,Scheduled,New conflict-free block
M126,S&T,S13,84.0,B005,2026-09-07,09:00,12:00,Scheduled,Grouped into existing block
M268,S&T,S11,82.5,B016,2026-09-07,09:00,11:00,Scheduled,New conflict-free block
M112,S&T,S02,79.5,B017,2026-09-07,09:00,10:30,Scheduled,New conflict-free block
M105,Engineering,S08,79.0,B004,2026-09-07,09:00,11:00,Scheduled,Grouped into existing block
