window_id,section,date,start_min,end_min,capacity_min
W0001,S01,2026-09-07,540,720,180
W0002,S01,2026-09-07,840,1020,180
W0003,S01,2026-09-08,540,720,180
W0004,S01,2026-09-08,840,1020,180
W0005,S01,2026-09-09,540,720,180
W0006,S01,2026-09-09,840,1020,180
W0007,S01,2026-09-10,540,720,180
W0008,S01,2026-09-10,840,990,150
W0009,S01,2026-09-10,1005,1020,15
W0010,S01,2026-09-11,540,660,120
W0011,S01,2026-09-11,665,720,55
W0012,S01,2026-09-11,840,1020,180
W0013,S01,2026-09-12,540,670,130
W0014,S01,2026-09-12,680,720,40
W0015,S01,2026-09-12,840,1020,180
W0016,S01,2026-09-13,540,720,180
W0017,S01,2026-09-13,840,990,150
W0018,S01,2026-09-13,1005,1020,15
W0019,S01,2026-09-14,540,720,180
W0020,S01,2026-09-14,840,1020,180
W0021,S01,2026-09-15,540,720,180
W0022,S01,2026-09-15,840,1020,180
W0023,S01,2026-09-16,540,720,180
W0024,S01,2026-09-16,840,1020,180
W0025,S01,2026-09-17,540,720,180
W0026,S01,2026-09-17,840,1020,180
W0027,S01,2026-09-18,540,720,180
W0028,S01,2026-09-18,840,1020,180
W0029,S01,2026-09-19,540,720,180
W0030,S01,2026-09-19,840,1020,180
W0031,S01,2026-09-20,540,720,180
W0032,S01,2026-09-20,840,1020,180
W0033,S02,2026-09-07,540,720,180
W0034,S02,2026-09-07,840,1020,180
W0035,S02,2026-09-08,540,720,180
W0036,S02,2026-09-08,840,1020,180
W0037,S02,2026-09-09,540,720,180
W0038,S02,2026-09-09,840,1020,180
W0039,S02,2026-09-10,540,720,180
W0040,S02,2026-09-10,840,1020,180
W0041,S02,2026-09-11,540,720,180
W0042,S02,2026-09-11,840,1020,180
W0043,S02,2026-09-12,540,720,180
W0044,S02,2026-09-12,840,1020,180
W0045,S02,2026-09-13,540,550,10
W0046,S02,2026-09-13,560,720,160
W0047,S02,2026-09-13,840,1020,180
W0048,S02,2026-09-14,540,720,180
W0049,S02,2026-09-14,840,1020,180
W0050,S02,2026-09-15,540,720,180
W0051,S02,2026-09-15,840,1020,180
W0052,S02,2026-09-16,540,720,180
W0053,S02,2026-09-16,840,1020,180
W0054,S02,2026-09-17,540,720,180
W0055,S02,2026-09-17,840,1020,180
W0056,S02,2026-09-18,540,720,180
W0057,S02,2026-09-18,840,1020,180
W0058,S02,2026-09-19,540,720,180
W0059,S02,2026-09-19,840,1020,180
W0060,S02,2026-09-20,540,720,180
W0061,S02,2026-09-20,840,1020,180
W0062,S03,2026-09-07,540,720,180
W0063,S03,2026-09-07,840,1020,180
W0064,S03,2026-09-08,540,720,180
W0065,S03,2026-09-08,840,1020,180
W0066,S03,2026-09-09,540,720,180
W0067,S03,2026-09-09,840,1020,180
W0068,S03,2026-09-10,540,720,180
W0069,S03,2026-09-10,840,980,140
W0070,S03,2026-09-10,985,1020,35
W0071,S03,2026-09-11,540,720,180
W0072,S03,2026-09-11,840,900,60
W0073,S03,2026-09-11,915,1020,105
W0074,S03,2026-09-12,540,720,180
W0075,S03,2026-09-12,840,1020,180
W0076,S03,2026-09-13,540,720,180
W0077,S03,2026-09-13,840,1020,180
W0078,S03,2026-09-14,540,720,180
W0079,S03,2026-09-14,840,1020,180
W0080,S03,2026-09-15,540,720,180
W0081,S03,2026-09-15,840,1020,180
W0082,S03,2026-09-16,540,720,180
W0083,S03,2026-09-16,840,1020,180
W0084,S03,2026-09-17,540,720,180
W0085,S03,2026-09-17,840,1020,180
W0086,S03,2026-09-18,540,720,180
