block_id,window_id,date,section,block_start,block_end,block_duration_hours,available_capacity_hours,utilization_pct,task_count,departments,task_ids
OPT-W0001,W0001,2026-09-07,S01,09:00,12:00,3.0,3.0,100.0,2,"Engineering, S&T","M108, M070"
OPT-W0002,W0002,2026-09-07,S01,14:00,17:00,3.0,3.0,100.0,4,"Engineering, S&T, Traction","M075, M254, M047, M172"
OPT-W0003,W0003,2026-09-08,S01,09:00,11:30,2.5,3.0,83.33,3,"Engineering, S&T, Traction","M118, M046, M148"
OPT-W0004,W0004,2026-09-08,S01,14:00,16:00,2.0,3.0,66.67,1,Traction,M125
OPT-W0033,W0033,2026-09-07,S02,09:00,12:00,3.0,3.0,100.0,3,"Engineering, S&T","M112, M149, M252"
OPT-W0034,W0034,2026-09-07,S02,14:00,17:00,3.0,3.0,100.0,2,S&T,"M288, M247"
OPT-W0035,W0035,2026-09-08,S02,09:00,12:00,3.0,3.0,100.0,3,"Engineering, Traction","M063, M100, M073"
OPT-W0036,W0036,2026-09-08,S02,14:00,17:00,3.0,3.0,100.0,2,"Engineering, Traction","M025, M165"
OPT-W0037,W0037,2026-09-09,S02,09:00,12:00,3.0,3.0,100.0,2,"Engineering, S&T","M132, M256"
OPT-W0038,W0038,2026-09-09,S02,14:00,15:00,1.0,3.0,33.33,1,S&T,M034
OPT-W0062,W0062,2026-09-07,S03,09:00,12:00,3.0,3.0,100.0,6,"Engineering, S&T","M277, M031, M229, M300, M004, M293"
OPT-W0063,W0063,2026-09-07,S03,14:00,16:30,2.5,3.0,83.33,2,S&T,"M138, M175"
OPT-W0064,W0064,2026-09-08,S03,09:00,12:00,3.0,3.0,100.0,3,"Engineering, S&T","M199, M221, M275"
OPT-W0065,W0065,2026-09-08,S03,14:00,17:00,3.0,3.0,100.0,2,Engineering,"M168, M222"
OPT-W0066,W0066,2026-09-09,S03,09:00,12:00,3.0,3.0,100.0,2,S&T,"M115, M091"
OPT-W0067,W0067,2026-09-09,S03,14:00,17:00,3.0,3.0,100.0,2,S&T,"M079, M298"
OPT-W0068,W0068,2026-09-10,S03,09:00,10:30,1.5,3.0,50.0,1,S&T,M029
OPT-W0093,W0093,2026-09-07,S04,09:55,11:55,2.0,2.08,96.0,2,"Engineering, Traction","M096, M253"
OPT-W0094,W0094,2026-09-07,S04,14:00,16:30,2.5,3.0,83.33,2,"Engineering, Traction","M099, M216"
OPT-W0095,W0095,2026-09-08,S04,09:00,12:00,3.0,3.0,100.0,2,"S&T, Traction","M005, M290"
OPT-W0101,W0101,2026-09-10,S04,14:00,17:00,3.0,3.0,100.0,3,"S&T, Traction","M140, M274, M127"
OPT-W0102,W0102,2026-09-11,S04,09:00,12:00,3.0,3.0,100.0,4,"S&T, Traction","M151, M186, M130, M257"
OPT-W0103,W0103,2026-09-11,S04,14:00,17:00,3.0,3.0,100.0,3,"Engineering, S&T, Traction","M051, M093, M170"
OPT-W0104,W0104,2026-09-12,S04,09:00,12:00,3.0,3.0,100.0,3,S&T,"M185, M024, M255"
OPT-W0105,W0105,2026-09-12,S04,14:00,16:00,2.0,3.0,66.67,1,Traction,M037
OPT-W0106,W0106,2026-09-13,S04,09:00,12:00,3.0,3.0,100.0,2,"S&T, Traction","M062, M159"
OPT-W0107,W0107,2026-09-13,S04,14:00,17:00,3.0,3.0,100.0,2,S&T,"M200, M273"
OPT-W0108,W0108,2026-09-14,S04,09:00,11:00,2.0,3.0,66.67,1,S&T,M197
OPT-W0122,W0122,2026-09-07,S05,09:00,12:00,3.0,3.0,100.0,3,Traction,"M071, M010, M086"
OPT-W0123,W0123,2026-09-07,S05,14:00,17:00,3.0,3.0,100.0,2,S&T,"M142, M243"
OPT-W0124,W0124,2026-09-08,S05,09:00,12:00,3.0,3.0,100.0,3,Traction,"M057, M291, M184"
OPT-W0125,W0125,2026-09-08,S05,14:00,16:30,2.5,3.0,83.33,1,Traction,M089
OPT-W0154,W0154,2026-09-07,S06,09:00,12:00,3.0,3.0,100.0,5,"Engineering, Traction","M224, M157, M208, M110, M204"
OPT-W0155,W0155,2026-09-07,S06,14:00,15:30,1.5,1.67,90.0,2,Engineering,"M041, M167"
OPT-W0157,W0157,2026-09-08,S06,09:00,12:00,3.0,3.0,100.0,3,Engineering,"M211, M219, M272"
OPT-W0158,W0158,2026-09-08,S06,14:00,17:00,3.0,3.0,100.0,2,Traction,"M294, M238"
OPT-W0159,W0159,2026-09-09,S06,09:00,11:30,2.5,3.0,83.33,2,Traction,"M163, M245"
OPT-W0202,W0202,2026-09-14,S07,14:00,17:00,3.0,3.0,100.0,4,"Engineering, S&T","M276, M077, M161, M196"
OPT-W0203,W0203,2026-09-15,S07,09:00,12:00,3.0,3.0,100.0,3,"S&T, Traction","M233, M173, M080"
OPT-W0218,W0218,2026-09-07,S08,09:00,12:00,3.0,3.0,100.0,3,Engineering,"M026, M177, M050"
OPT-W0219,W0219,2026-09-07,S08,14:00,17:00,3.0,3.0,100.0,3,"Engineering, S&T","M072, M205, M027"
OPT-W0220,W0220,2026-09-08,S08,09:00,12:00,3.0,3.0,100.0,3,Engineering,"M105, M182, M101"
OPT-W0221,W0221,2026-09-08,S08,14:00,17:00,3.0,3.0,100.0,2,"Engineering, S&T","M218, M012"
OPT-W0222,W0222,2026-09-09,S08,09:00,11:30,2.5,2.5,100.0,2,"S&T, Traction","M092, M044"
OPT-W0229,W0229,2026-09-11,S08,14:00,16:30,2.5,3.0,83.33,2,"Engineering, S&T","M192, M289"
