task_index,task_id,window_index,window_id,section,date,duration_min,capacity_min,priority,due_date,block_start,block_end,block_start_time,block_end_time,department,asset_id,severity,status
0,M078,375,W0376,S13,2026-09-08,90,180,104.5,2026-08-28,840,930,14:00,15:30,Traction,AST092,High,Pending
1,M209,524,W0525,S18,2026-09-07,60,180,102.0,2026-08-30,540,600,09:00,10:00,S&T,AST064,Critical,Ongoing
2,M052,526,W0527,S18,2026-09-08,90,180,100.5,2026-08-31,540,630,09:00,10:30,S&T,AST054,Critical,Ongoing
3,M142,122,W0123,S05,2026-09-07,120,180,99.0,2026-08-28,840,960,14:00,16:00,S&T,AST046,Critical,Ongoing
4,M232,372,W0373,S13,2026-09-07,60,180,96.0,2026-08-30,540,600,09:00,10:00,Engineering,AST015,Critical,Pending
5,M243,122,W0123,S05,2026-09-07,60,180,94.0,2026-08-31,840,900,14:00,15:00,S&T,AST046,High,Ongoing
6,M072,218,W0219,S08,2026-09-07,60,180,90.0,2026-09-03,840,900,14:00,15:00,S&T,AST049,Critical,Ongoing
7,M143,373,W0374,S13,2026-09-07,120,180,90.0,2026-09-07,840,960,14:00,16:00,Traction,AST097,Critical,Pending
8,M288,33,W0034,S02,2026-09-07,120,180,90.0,2026-08-31,840,960,14:00,16:00,S&T,AST048,High,Pending
9,M224,153,W0154,S06,2026-09-07,60,180,89.5,2026-09-07,540,600,09:00,10:00,Engineering,AST032,Critical,Ongoing
10,M138,62,W0063,S03,2026-09-07,60,180,89.5,2026-08-31,840,900,14:00,15:00,S&T,AST039,High,Pending
11,M175,62,W0063,S03,2026-09-07,90,180,88.5,2026-09-01,840,930,14:00,15:30,S&T,AST065,High,Pending
12,M279,374,W0375,S13,2026-09-08,120,180,87.0,2026-09-09,540,660,09:00,11:00,Traction,AST092,Critical,Pending
13,M179,281,W0282,S10,2026-09-07,150,180,87.0,2026-09-02,840,990,14:00,16:30,S&T,AST053,Critical,Completed
14,M104,525,W0526,S18,2026-09-07,120,180,86.5,2026-09-02,840,960,14:00,16:00,Traction,AST069,High,Ongoing
15,M191,312,W0313,S11,2026-09-08,120,180,85.5,2026-09-03,840,960,14:00,16:00,S&T,AST061,High,Completed
16,M083,314,W0315,S11,2026-09-09,90,180,85.5,2026-09-10,840,930,14:00,15:30,Engineering,AST023,Critical,Completed
17,M003,438,W0439,S15,2026-09-09,120,180,85.0,2026-09-10,840,960,14:00,16:00,S&T,AST063,High,Ongoing
18,M089,124,W0125,S05,2026-09-08,150,180,85.0,2026-09-25,840,990,14:00,16:30,Traction,AST080,Critical,Ongoing
19,M126,372,W0373,S13,2026-09-07,60,180,84.0,2026-09-04,540,600,09:00,10:00,S&T,AST050,High,Pending
20,M268,310,W0311,S11,2026-09-07,120,180,82.5,2026-09-05,840,960,14:00,16:00,S&T,AST061,High,Completed
21,M112,32,W0033,S02,2026-09-07,90,180,79.5,2026-09-07,540,630,09:00,10:30,S&T,AST038,High,Pending
22,M105,219,W0220,S08,2026-09-08,60,180,79.0,2026-10-03,540,600,09:00,10:00,Engineering,AST016,Critical,Ongoing
23,M180,527,W0528,S18,2026-09-08,90,180,78.5,2026-08-29,840,930,14:00,15:30,Engineering,AST012,Medium,Ongoing
24,M088,561,W0562,S19,2026-09-09,120,180,76.5,2026-09-09,540,660,09:00,11:00,Engineering,AST006,High,Pending
25,M149,32,W0033,S02,2026-09-07,60,180,76.5,2026-09-04,540,600,09:00,10:00,S&T,AST038,High,Pending
26,M139,376,W0377,S13,2026-09-09,120,180,75.0,2026-09-18,540,660,09:00,11:00,S&T,AST050,Critical,Pending
27,M132,36,W0037,S02,2026-09-09,120,180,75.0,2026-09-20,540,660,09:00,11:00,S&T,AST048,Critical,Pending
28,M283,411,W0412,S14,2026-09-10,120,180,75.0,2026-09-10,840,960,14:00,16:00,Traction,AST082,High,Pending
29,M168,64,W0065,S03,2026-09-08,60,180,74.5,2026-09-10,840,900,14:00,15:00,Engineering,AST010,High,Pending
30,M079,66,W0067,S03,2026-09-09,120,180,74.5,2026-09-18,840,960,14:00,16:00,S&T,AST065,High,Pending
31,M125,3,W0004,S01,2026-09-08,120,180,74.5,2026-09-13,840,960,14:00,16:00,Traction,AST100,High,Pending
32,M059,340,W0341,S12,2026-09-07,90,180,74.0,2026-09-01,540,630,09:00,10:30,Engineering,AST003,Medium,Completed
33,M071,121,W0122,S05,2026-09-07,90,180,71.0,2026-09-03,540,630,09:00,10:30,Traction,AST073,Medium,Ongoing
34,M120,410,W0411,S14,2026-09-10,90,180,70.5,2026-09-13,540,630,09:00,10:30,Traction,AST082,High,Pending
35,M155,340,W0341,S12,2026-09-07,60,180,70.5,2026-09-13,540,600,09:00,10:00,Engineering,AST003,High,Completed
36,M181,372,W0373,S13,2026-09-07,30,180,70.0,2026-08-28,540,570,09:00,09:30,Traction,AST097,Medium,Pending
37,M055,524,W0525,S18,2026-09-07,60,180,70.0,2026-08-26,540,600,09:00,10:00,Engineering,AST012,Medium,Ongoing
38,M062,105,W0106,S04,2026-09-13,120,180,70.0,2026-09-13,540,660,09:00,11:00,Traction,AST075,High,Pending
39,M002,535,W0536,S18,2026-09-11,60,155,70.0,2026-09-13,865,925,14:25,15:25,Traction,AST069,High,Overdue
40,M277,61,W0062,S03,2026-09-07,30,180,70.0,2026-08-26,540,570,09:00,09:30,S&T,AST065,Medium,Pending
41,M108,0,W0001,S01,2026-09-07,60,180,69.0,2026-09-24,540,600,09:00,10:00,Engineering,AST024,Critical,Pending
42,M063,34,W0035,S02,2026-09-08,60,180,69.0,2026-09-14,540,600,09:00,10:00,Traction,AST078,High,Pending
43,M218,220,W0221,S08,2026-09-08,90,180,69.0,2026-10-02,840,930,14:00,15:30,S&T,AST049,Critical,Ongoing
44,M111,602,W0603,S20,2026-09-12,60,180,69.0,2026-09-14,540,600,09:00,10:00,S&T,AST057,High,Completed
45,M020,313,W0314,S11,2026-09-09,90,180,69.0,2026-09-14,540,630,09:00,10:30,Engineering,AST023,High,Completed
